,fn,JGA,PPL,NEI_all_ne/hallucination_conditional,NEI_all_ne/hallucination_original,NEI_all_ne/hallucination_perturbed,NEI_consistency,NEI_jga_conditional,NEI_jga_original,NEI_jga_perturbed,NEI_slot_p_conditional,NEI_slot_p_original,NEI_slot_p_perturbed,NEI_slot_r_conditional,NEI_slot_r_original,NEI_slot_r_perturbed,SD_all_ne/hallucination_conditional,SD_all_ne/hallucination_original,SD_all_ne/hallucination_perturbed,SD_consistency,SD_jga_conditional,SD_jga_original,SD_jga_perturbed,SD_slot_p_conditional,SD_slot_p_original,SD_slot_p_perturbed,SD_slot_r_conditional,SD_slot_r_original,SD_slot_r_perturbed,TP_all_ne/hallucination_conditional,TP_all_ne/hallucination_original,TP_all_ne/hallucination_perturbed,TP_consistency,TP_jga_conditional,TP_jga_original,TP_jga_perturbed,TP_slot_p_conditional,TP_slot_p_original,TP_slot_p_perturbed,TP_slot_r_conditional,TP_slot_r_original,TP_slot_r_perturbed
0,bart_scratch_multiwoz2.3/2021-10-15_06:12:22_ngpu1_bs4_lr1e-4_eps20_fewshot_False_sd2,0.7417309812568909,1.1709301331494875,0.22928994082840237,0.14195250659630607,0.12874408828166053,0.017857142857142856,0.3402439024390244,0.3851573508689526,0.41118421052631576,0.8877769835596855,0.8871243586611287,0.8878832354859753,0.8557316793016311,0.8598610453181746,0.859444093493367,0.00847457627118644,0.01790920449812578,0.011254689453939141,0.4178610804851158,0.7415227127319258,0.6462725644205595,0.6123208379272327,0.9362831858407079,0.9234409059492796,0.9090497737556561,0.939228481377902,0.9219579528562327,0.9065088129114461,0.014105419450631032,0.003513394817742644,0.013280212483399735,0.35224292615596964,0.7950271625574593,0.6606403532983716,0.6866804692891649,0.9607493697296358,0.9301778941182756,0.9383865960066378,0.9594078319006686,0.924779466468275,0.9314413265306123
1,bart_scratch_multiwoz2.3/2021-10-15_06:12:27_ngpu1_bs4_lr1e-4_eps20_fewshot_False_sd1,-1.0,-1.0,0.5018796992481203,0.19682726204465334,0.28669581511555275,0.0850164396430249,0.16170212765957448,0.3311413809300141,0.2325035227806482,0.865998917162967,0.8968512486427795,0.872120596205962,0.8244845360824742,0.8381621536275361,0.8071851559415713,0.04419889502762431,0.03406113537117904,0.041866550370693416,0.35646427096241223,0.7028301886792453,0.4962136858047639,0.4850612694478865,0.9285212504390586,0.9147303814116615,0.9042143500942288,0.9318395671606681,0.8800265428002654,0.8730192435301924,0.01085972850678733,0.012506012506012507,0.022977501196744854,0.4111157081781823,0.7816572412097369,0.5608881533581574,0.5430975037925804,0.9566019827040708,0.9320249580825156,0.9258543587478607,0.9555063524698192,0.8959562144641054,0.8871499176276771
2,bart_scratch_multiwoz2.3/2021-10-15_06:12:36_ngpu1_bs4_lr1e-4_eps20_fewshot_False_sd0,0.7642601267566823,1.4238664534551344,0.4710884353741497,0.26826666666666665,0.22696512233211869,0.017924528301886792,0.17198335644937587,0.3404054691183404,0.3849056603773585,0.8613138686131386,0.8835840418574231,0.8861696072851452,0.8282777638505892,0.8537009242436211,0.8610255194753891,0.02477763659466328,0.00829531314807134,0.033229085222830336,0.4827063524872537,0.6895278803186322,0.7092863047671535,0.5697946809976574,0.9222498269050625,0.9449283058948487,0.8968401486988847,0.9265139116202946,0.9445756908130492,0.8965782697565767,0.002067539627842867,0.00787746170678337,0.006151142355008787,0.41187025534851623,0.7634951456310679,0.7108350586611456,0.6706694271911663,0.9545085955238404,0.9430590745432724,0.9361000964526845,0.9501170393090644,0.9395759153956529,0.9284366612633201
3,bart_scratch_multiwoz2.3/2021-10-15_16:07:59_ngpu1_bs4_lr1e-4_eps20_fewshot_True_sd2,0.4726603575184017,1.496502126078095,0.13157894736842105,0.21176470588235294,0.15730337078651685,0.042105263157894736,0.4146341463414634,0.2198952879581152,0.3105263157894737,0.8135593220338984,0.7274143302180686,0.7756315007429421,0.8050847457627118,0.6775147928994083,0.7348148148148148,0.16129032258064516,0.22426470588235295,0.14814814814814814,0.21618685497012494,0.6898305084745763,0.3204780010863661,0.46387832699619774,0.910164271047228,0.7581852885038908,0.8228117463469996,0.9061007957559681,0.7261238201887698,0.811930273468735,0.125,0.18359375,0.19811320754716982,0.16167664670658682,0.637599093997735,0.4809575625680087,0.5084376701143168,0.9097315436241611,0.8195092578654223,0.8565997566909975,0.8979739507959479,0.8276804372287414,0.8436947791164658
4,bart_scratch_multiwoz2.3/2021-10-15_16:07:59_ngpu1_bs4_lr1e-4_eps20_fewshot_True_sd3,0.5945378151260504,2.259765173957225,0.13513513513513514,0.09933774834437085,0.14788732394366197,0.07216494845360824,0.5227272727272727,0.4536082474226804,0.31443298969072164,0.8315018315018315,0.8273716951788491,0.7770992366412214,0.8345588235294118,0.7835051546391752,0.748159057437408,0.1,0.072992700729927,0.12781954887218044,0.43692474282620464,0.5505415162454874,0.5998917162966974,0.35571196534921495,0.8183934807916181,0.8885162114678167,0.7531818914129209,0.8155452436194895,0.8878773358888357,0.7465261140392908,0.05454545454545454,0.10457516339869281,0.10948905109489052,0.33878887070376434,0.7504187604690117,0.6513911620294599,0.6306601200218221,0.9264434484576852,0.8982045527412632,0.8886920103092784,0.9203145478374836,0.899726819861803,0.8856224899598394
5,bart_scratch_multiwoz2.3/2021-10-15_16:07:59_ngpu1_bs4_lr1e-4_eps20_fewshot_True_sd4,0.573074908328968,2.006390698624262,0.06060606060606061,0.13636363636363635,0.04827586206896552,0.06217616580310881,0.6388888888888888,0.19072164948453607,0.29015544041450775,0.9,0.7417027417027418,0.7858176555716353,0.8653846153846154,0.7555228276877761,0.7979351032448377,0.0,0.06470588235294118,0.037267080745341616,0.4788732394366197,0.6085790884718498,0.6061755146262189,0.394907908992416,0.8495227400336889,0.8794839521711768,0.7708366033589703,0.8510278794705717,0.8915855021555166,0.7830113364202459,0.05357142857142857,0.0718562874251497,0.05660377358490566,0.3745910577971647,0.7700729927007299,0.5976008724100327,0.5986913849509269,0.9289586305278174,0.876768311851619,0.8726928537624231,0.9345579793340988,0.8960642570281124,0.8883892725228842
6,bart_scratch_multiwoz2.3/2021-10-15_16:08:29_ngpu1_bs4_lr1e-4_eps20_fewshot_True_sd0,0.5891350210970464,2.213267642066345,0.043478260869565216,0.05128205128205128,0.06329113924050633,0.08333333333333333,0.6041666666666666,0.2538860103626943,0.3333333333333333,0.8741258741258742,0.7738095238095238,0.8021148036253777,0.8928571428571429,0.7669616519174042,0.7843426883308715,0.0,0.0273972602739726,0.036231884057971016,0.2546245919477693,0.7217598097502973,0.4578575312669929,0.5571273122959739,0.8990990990990991,0.7980845969672785,0.851168707266656,0.9066133720930233,0.7986898865633488,0.8552484422431699,0.017857142857142856,0.026490066225165563,0.013333333333333334,0.4190894130554032,0.7697478991596639,0.6529605263157895,0.6319253976961053,0.9323467230443975,0.9000484417891167,0.8991961414790997,0.9355608591885441,0.8959974280662273,0.8989071038251366
7,bart_scratch_multiwoz2.3/2021-10-15_16:08:29_ngpu1_bs4_lr1e-4_eps20_fewshot_True_sd1,0.6181434599156118,1.987478095903298,0.06,0.06666666666666667,0.051470588235294115,0.13020833333333334,0.5178571428571429,0.2916666666666667,0.22916666666666666,0.867816091954023,0.8061674008810573,0.7700296735905044,0.8388888888888889,0.8079763663220089,0.7636632200886263,0.0,0.09271523178807947,0.013605442176870748,0.36091453456722916,0.6153846153846154,0.537833424060969,0.4752313554708764,0.8546821171312246,0.8388429752066116,0.8160828025477707,0.8579063187676831,0.8430557775291674,0.8188649080735412,0.0,0.006802721088435374,0.012269938650306749,0.4045005488474204,0.7687188019966722,0.6597145993413831,0.654774972557629,0.9342820181112549,0.8939968404423381,0.90496,0.9340232858990944,0.9090470834002893,0.90869635106896
